Round	Timestamp	Name	Alliance	Best Attacker	Attack Point	Best Defender	Defense Point
651	2023-10-27 00:11:17	C0N4	PUSSY	Laipsnis	125,367,637,979,992,814,518,272	Laipsnis	46,329,635,207,965,409,542,144
650	2023-10-22 08:22:27	C0NA	CONA	ANGEL	501,158,012,830,704,117,743,616	ANGEL	75,244,760,856,346,635,534,336
659	2023-11-17 12:35:50	maluko	maluko	C0NA	13,100,856,841,686,795,419,648	Jeeves	16,092,562,814,487,014,408,192
658	2023-11-14 01:40:42	C0N4	maluko	maluko	75,361,212,244,488,274,051,072	maluko	18,979,289,641,697,213,939,712
657	2023-11-14 01:38:41	C0N4	maluko	maluko	75,361,212,244,488,274,051,072	maluko	18,979,289,641,697,213,939,712
656	2023-11-09 04:05:59	C0NA	૮0ทα	ma1uko	128,425,864,553,161,019,097,088	ma1uko	41,892,743,508,010,054,189,056
655	2023-11-05 04:56:59	C0NA	ς๏ภค	DrOg4s	48,015,235,534,591,868,534,784	DrOg4s	13,085,250,505,734,700,924,928
654	2023-11-01 02:13:11	CON4	C0N4	ANGEL	172,683,737,534,225,132,290,048	ANGEL	32,200,362,759,438,687,272,960
653	2023-11-01 01:44:38	CON4	C0N4	ANGEL	172,683,737,534,225,132,290,048	ANGEL	32,200,362,759,438,687,272,960
652	2023-10-27 00:13:17	C0N4	PUSSY	Laipsnis	125,367,637,979,992,814,518,272	Laipsnis	46,329,635,207,965,409,542,144
651	2023-10-27 00:11:17	C0N4	PUSSY	Laipsnis	125,367,637,979,992,814,518,272	Laipsnis	46,329,635,207,965,409,542,144
650	2023-10-22 08:22:27	C0NA	CONA	ANGEL	501,158,012,830,704,117,743,616	ANGEL	75,244,760,856,346,635,534,336
649	2023-10-16 22:07:53	C0N4|Tomas|Kuza	ς๏ภค	ANGEL	463,570,314,617,075,005,390,848	ANGEL	44,737,267,948,789,583,314,944
648	2023-10-16 21:58:55	C0N4|Tomas|Kuza	ς๏ภค	ANGEL	463,570,314,617,075,005,390,848	ANGEL	44,737,267,948,789,583,314,944
647	2023-10-12 02:46:03	C0N4	$ BTC $	KRISTEN	220,038,491,900,847,696,379,904	KRISTEN	43,470,516,642,419,363,020,800
646	2023-10-08 04:38:41	MG03	C0N4	Turbinas	228,767,444,882,149,013,979,136	Turbinas	28,840,983,136,940,551,307,264
645	2023-10-02 21:10:42	Moreno	UAE	ANGEL	196,073,962,946,605,424,312,320	Moreno	45,749,654,422,113,205,878,784
644	2023-09-29 08:59:29	C0N4	C0N4	Davis	115,421,266,929,665,693,450,240	Davis	62,823,214,134,398,147,362,816
643	2023-09-29 03:35:10	C0N4	C0N4	Davis	115,421,266,929,665,693,450,240	Davis	62,823,214,134,398,147,362,816
642	2023-09-29 03:32:25	C0N4	C0N4	Davis	115,421,266,929,665,693,450,240	Davis	62,823,214,134,398,147,362,816
641	2023-09-25 04:25:44	KSCERATO	WW2	Teuton	136,850,502,255,607,373,889,536	Teuton	39,295,718,970,496,676,528,128
640	2023-09-20 12:11:21	ㅤ	SLB	NOKIA	166,721,414,043,442,496,929,792	NOKIA	94,755,643,405,118,692,392,960
649	2023-10-16 22:07:53	C0N4|Tomas|Kuza	ς๏ภค	ANGEL	463,570,314,617,075,005,390,848	ANGEL	44,737,267,948,789,583,314,944
648	2023-10-16 21:58:55	C0N4|Tomas|Kuza	ς๏ภค	ANGEL	463,570,314,617,075,005,390,848	ANGEL	44,737,267,948,789,583,314,944
647	2023-10-12 02:46:03	C0N4	$ BTC $	KRISTEN	220,038,491,900,847,696,379,904	KRISTEN	43,470,516,642,419,363,020,800
646	2023-10-08 04:38:41	MG03	C0N4	Turbinas	228,767,444,882,149,013,979,136	Turbinas	28,840,983,136,940,551,307,264
645	2023-10-02 21:10:42	Moreno	UAE	ANGEL	196,073,962,946,605,424,312,320	Moreno	45,749,654,422,113,205,878,784
644	2023-09-29 08:59:29	C0N4	C0N4	Davis	115,421,266,929,665,693,450,240	Davis	62,823,214,134,398,147,362,816
643	2023-09-29 03:35:10	C0N4	C0N4	Davis	115,421,266,929,665,693,450,240	Davis	62,823,214,134,398,147,362,816
642	2023-09-29 03:32:25	C0N4	C0N4	Davis	115,421,266,929,665,693,450,240	Davis	62,823,214,134,398,147,362,816
641	2023-09-25 04:25:44	KSCERATO	WW2	Teuton	136,850,502,255,607,373,889,536	Teuton	39,295,718,970,496,676,528,128
640	2023-09-20 12:11:21	ㅤ	SLB	NOKIA	166,721,414,043,442,496,929,792	NOKIA	94,755,643,405,118,692,392,960
639	2023-09-15 10:01:11	xX_Mia_Queen_Xx	ㅤ	D4rkFrame	147,370,428,732,532,571,766,784	xX_Mia_Queen_Xx	38,119,420,003,093,267,349,504
638	2023-09-15 07:27:21	xX_Mia_Queen_Xx	ㅤ	D4rkFrame	147,370,428,732,532,571,766,784	xX_Mia_Queen_Xx	38,119,420,003,093,267,349,504
637	2023-09-15 07:13:04	xX_Mia_Queen_Xx	ㅤ	D4rkFrame	147,370,428,732,532,571,766,784	xX_Mia_Queen_Xx	38,119,420,003,093,267,349,504
636	2023-09-11 07:00:22	PaulinhoLOKObr	ZZZZZZ	Khunzakh	127,203,251,270,728,829,370,368	Khunzakh	50,146,716,997,461,737,472,000
635	2023-09-07 22:46:37	roky	UZB	D4rkFrame™	40,505,407,926,833,728,454,656	D4rkFrame™	5,064,471,586,532,876,091,392
634	2023-09-02 23:48:44	PaulinhoLOKObr	PBR	GhostRider™	155,753,320,149,033,081,110,528	PaulinhoLOKObr	19,565,977,964,855,949,262,848
633	2023-08-30 18:29:40	PaulinhoLOKObr	PBR	D4rkFrame	212,259,193,008,456,684,535,808	PaulinhoLOKObr	19,213,086,371,226,207,649,792
632	2023-08-27 10:10:23	hardcore	G.O.A.T.	CROstriker	3,983,155,696,613,654,528,000	pepe	490,627,335,950,005,698,560
631	2023-08-24 07:42:17	Davis	5G	Davis	28,944,150,867,776,611,811,328	Davis	2,969,278,893,988,078,157,824
630	2023-08-21 05:48:42	PASSAL	5G	PASSAL	71,101,932,410,617,529,892,864	PASSAL	37,630,432,188,462,004,174,848
639	2023-09-15 10:01:11	xX_Mia_Queen_Xx	ㅤ	D4rkFrame	147,370,428,732,532,571,766,784	xX_Mia_Queen_Xx	38,119,420,003,093,267,349,504
638	2023-09-15 07:27:21	xX_Mia_Queen_Xx	ㅤ	D4rkFrame	147,370,428,732,532,571,766,784	xX_Mia_Queen_Xx	38,119,420,003,093,267,349,504
637	2023-09-15 07:13:04	xX_Mia_Queen_Xx	ㅤ	D4rkFrame	147,370,428,732,532,571,766,784	xX_Mia_Queen_Xx	38,119,420,003,093,267,349,504
636	2023-09-11 07:00:22	PaulinhoLOKObr	ZZZZZZ	Khunzakh	127,203,251,270,728,829,370,368	Khunzakh	50,146,716,997,461,737,472,000
635	2023-09-07 22:46:37	roky	UZB	D4rkFrame™	40,505,407,926,833,728,454,656	D4rkFrame™	5,064,471,586,532,876,091,392
634	2023-09-02 23:48:44	PaulinhoLOKObr	PBR	GhostRider™	155,753,320,149,033,081,110,528	PaulinhoLOKObr	19,565,977,964,855,949,262,848
633	2023-08-30 18:29:40	PaulinhoLOKObr	PBR	D4rkFrame	212,259,193,008,456,684,535,808	PaulinhoLOKObr	19,213,086,371,226,207,649,792
632	2023-08-27 10:10:23	hardcore	G.O.A.T.	CROstriker	3,983,155,696,613,654,528,000	pepe	490,627,335,950,005,698,560
631	2023-08-24 07:42:17	Davis	5G	Davis	28,944,150,867,776,611,811,328	Davis	2,969,278,893,988,078,157,824
630	2023-08-21 05:48:42	PASSAL	5G	hardcore	763,208,927,155,697,352,704	Light	79,724,832,089,808,683,008
629	2023-08-13 20:11:01	Davis	BT	Davis	37,187,370,018,233,548,537,856	Davis	6,162,213,733,740,426,821,632
628	2023-08-10 17:02:42	Teuton	MEGA	Teuton	71,794,616,404,042,485,596,160	Teuton	27,965,060,321,952,328,056,832
627	2023-08-07 14:45:18	Teuton	5G	Teuton	53,705,248,742,961,028,530,176	Teuton	5,879,668,891,531,257,839,616
626	2023-08-04 11:57:14	Teuton	5G	Teuton	815,097,333,170,765,955,072	Teuton	409,051,910,566,031,130,624
625	2023-08-01 09:14:39	Quitocento	1	aaa	52,517,525,310,127,448,064	Quitocento	73,684,887,928,065,695,744
624	2023-07-29 07:50:02	PASSAL	5G	PASSAL	103,421,796,734,206,321,098,752	PASSAL	21,857,272,675,638,532,112,384
623	2023-07-25 04:15:44	Teuton	POR	Teuton	46,319,290,167,587,749,494,784	Teuton	6,651,995,508,492,218,662,912
622	2023-07-21 21:01:06	B3NF1C4	SLB	Teuton	27,999,045,855,501,294,239,744	Teuton	6,203,279,613,464,465,637,376
621	2023-07-18 17:31:10	Teuton	UAE	Teuton	75,458,955,636,520,591,032,320	Teuton	50,370,915,209,254,065,405,952
630	2023-08-21 05:48:42	PASSAL	5G	hardcore	763,208,927,155,697,352,704	Light	79,724,832,089,808,683,008
629	2023-08-13 20:11:01	Davis	BT	Davis	37,187,370,018,233,548,537,856	Davis	6,162,213,733,740,426,821,632
628	2023-08-10 17:02:42	Teuton	MEGA	Teuton	71,794,616,404,042,485,596,160	Teuton	27,965,060,321,952,328,056,832
627	2023-08-07 14:45:18	Teuton	5G	Teuton	53,705,248,742,961,028,530,176	Teuton	5,879,668,891,531,257,839,616
626	2023-08-04 11:57:14	Teuton	5G	Teuton	815,097,333,170,765,955,072	Teuton	409,051,910,566,031,130,624
625	2023-08-01 09:14:39	Quitocento	1	aaa	52,517,525,310,127,448,064	Quitocento	73,684,887,928,065,695,744
624	2023-07-29 07:50:02	PASSAL	5G	PASSAL	103,421,796,734,206,321,098,752	PASSAL	21,857,272,675,638,532,112,384
623	2023-07-25 04:15:44	Teuton	POR	Teuton	46,319,290,167,587,749,494,784	Teuton	6,651,995,508,492,218,662,912
622	2023-07-21 21:01:06	B3NF1C4	SLB	Teuton	27,999,045,855,501,294,239,744	Teuton	6,203,279,613,464,465,637,376
621	2023-07-18 17:31:10	Teuton	UAE	Teuton	75,458,955,636,520,591,032,320	Teuton	50,370,915,209,254,065,405,952
620	2023-07-15 13:31:00	Unknown	™	Unknown	5,430,995,576,104,070,152,192	Unknown	8,606,747,012,858,789,232,640
619	2023-07-12 11:58:46	MaTzU	∞	MaTzU	33,977,258,815,559,250,739,200	MaTzU	68,001,268,533,605,869,551,616
618	2023-07-09 03:35:31	GhostRider™		GhostRider™	41,286,087,938,805,002,665,984	GhostRider™	12,767,171,481,256,949,972,992
617	2023-07-09 01:05:26	GhostRider™		GhostRider™	41,286,087,938,805,002,665,984	GhostRider™	12,767,171,481,256,949,972,992
616	2023-07-09 01:02:24	GhostRider™		GhostRider™	41,286,087,938,805,002,665,984	GhostRider™	12,767,171,481,256,949,972,992
615	2023-07-05 23:47:53	GhostRider™		GhostRider™	27,528,904,701,899,089,903,616	kalarmar	1,432,850,179,467,700,338,688
614	2023-07-02 22:40:15	maki		GhostRider™	36,541,183,841,423,541,141,504	GhostRider™	10,835,067,523,735,912,185,856
613	2023-06-29 20:40:30	MrX		MrX	49,293,262,000,112,017,604,608	ANGEL	14,418,607,870,812,872,507,392
612	2023-06-16 12:48:04	Snake	TB	Snake	24,547,483,221,895,698,972,672	Snake	9,504,596,111,542,651,453,440
611	2023-06-12 03:11:06	Gasboss	RT	Gasboss	19,332,269,999,349,448,048,640	Gasboss	2,599,491,786,073,711,312,896
620	2023-07-15 13:31:00	Unknown	™	Unknown	5,430,995,576,104,070,152,192	Unknown	8,606,747,012,858,789,232,640
619	2023-07-12 11:58:46	MaTzU	∞	MaTzU	33,977,258,815,559,250,739,200	MaTzU	68,001,268,533,605,869,551,616
618	2023-07-09 03:35:31	GhostRider™		GhostRider™	41,286,087,938,805,002,665,984	GhostRider™	12,767,171,481,256,949,972,992
617	2023-07-09 01:05:26	GhostRider™		GhostRider™	41,286,087,938,805,002,665,984	GhostRider™	12,767,171,481,256,949,972,992
616	2023-07-09 01:02:24	GhostRider™		GhostRider™	41,286,087,938,805,002,665,984	GhostRider™	12,767,171,481,256,949,972,992
615	2023-07-05 23:47:53	GhostRider™		GhostRider™	27,528,904,701,899,089,903,616	kalarmar	1,432,850,179,467,700,338,688
614	2023-07-02 22:40:15	maki		GhostRider™	36,541,183,841,423,541,141,504	GhostRider™	10,835,067,523,735,912,185,856
613	2023-06-29 20:40:30	MrX		MrX	49,293,262,000,112,017,604,608	ANGEL	14,418,607,870,812,872,507,392
612	2023-06-16 12:48:04	Snake	TB	Snake	24,547,483,221,895,698,972,672	Snake	9,504,596,111,542,651,453,440
611	2023-06-12 03:11:06	Gasboss	RT	Gasboss	19,332,269,999,349,448,048,640	Gasboss	2,599,491,786,073,711,312,896
610	2023-06-09 01:12:13	Snake	CBA	Snake	51,711,127,093,996,079,284,224	BIXODOCONTA	48,964,860,638,784,925,990,912
609	2023-06-05 23:25:57	Snake	TB	Snake	5,561,515,683,015,345,307,648	Snake	1,658,002,306,217,900,769,280
608	2023-06-02 21:32:53	Snake	TB	Snake	46,847,872,656,078,547,189,760	Snake	9,628,040,129,273,426,608,128
607	2023-05-29 22:13:00	Snake	UAE	Snake	63,338,171,045,351,708,950,528	Snake	16,320,228,706,326,092,447,744
606	2023-05-26 19:37:54	Snake	UAE™	Snake	74,605,415,685,058,669,314,048	Snake	48,558,999,270,124,341,428,224
605	2023-05-23 11:00:52	BruceLee	○°_°○	BruceLee	12,408,318,678,067,117,555,712	BruceLee	11,714,952,988,958,602,035,200
604	2023-05-20 07:22:30	Snake	PT	Snake	81,521,720,847,567,094,284,288	Snake	13,312,983,829,452,154,732,544
603	2023-05-17 05:24:01	ǟռɢɛʟ		Jacky	1,641,750,576,673,586,151,424	GhostRider™	268,626,017,815,748,739,072
602	2023-05-14 04:10:34	JUMBO	SAS	thunder	50,533,114,462,518,001,008,640	thunder	5,173,957,765,846,910,631,936
601	2023-05-11 00:15:44	Snake	BARÇA	Snake	10,971,152,012,040,808,169,472	Snake	5,876,920,899,837,781,606,400
610	2023-06-09 01:12:13	Snake	CBA	Snake	51,711,127,093,996,079,284,224	BIXODOCONTA	48,964,860,638,784,925,990,912
609	2023-06-05 23:25:57	Snake	TB	Snake	5,561,515,683,015,345,307,648	Snake	1,658,002,306,217,900,769,280
608	2023-06-02 21:32:53	Snake	TB	Snake	46,847,872,656,078,547,189,760	Snake	9,628,040,129,273,426,608,128
607	2023-05-29 22:13:00	Snake	UAE	Snake	63,338,171,045,351,708,950,528	Snake	16,320,228,706,326,092,447,744
606	2023-05-26 19:37:54	Snake	UAE™	Snake	74,605,415,685,058,669,314,048	Snake	48,558,999,270,124,341,428,224
605	2023-05-23 11:00:52	BruceLee	○°_°○	BruceLee	12,408,318,678,067,117,555,712	BruceLee	11,714,952,988,958,602,035,200
604	2023-05-20 07:22:30	Snake	PT	Snake	81,521,720,847,567,094,284,288	Snake	13,312,983,829,452,154,732,544
603	2023-05-17 05:24:01	ǟռɢɛʟ		Jacky	1,641,750,576,673,586,151,424	GhostRider™	268,626,017,815,748,739,072
602	2023-05-14 04:10:34	JUMBO	SAS	thunder	50,533,114,462,518,001,008,640	thunder	5,173,957,765,846,910,631,936
